Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ECU,248,Ecuador,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,1.95,6.13,5.28,3.26,4.02,5.18,3.09,3.27,3.7,1.26,0.2,0.03,0.27,-0.78,
EGY,469,"Egypt, Arab Rep.",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,5.42,8.79,10.78,11.37,14.93,29.45,15.46,10.95,12.08,
SLV,253,El Salvador,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.58,1.95,0.19,0.17,-1.24,-0.65,0.59,0.89,-0.24,-0.59,3.51
GNQ,642,Equatorial Guinea,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,3.37,1.29,4.23,1.79,5.81,-0.02,1.78,2.05,5.01,
EST,939,Estonia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,5.88,1.89,1.77,2.84,1.68,3.1,1.15,0.73,4.88,2.38,2.94,1.02,1.59,-1.14,0.43,0.01,1.13,2.29,2.39,1.41,-0.83,0.2
SWZ,734,"Eswatini, Kingdom of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18,11.57,5.08,3.86,5.85,7.57,5.7,6.62,5.45,6.78,5.13,2.62,2.33,,
ETH,644,Ethiopia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,7.19,5.67,3.75,8.43,14.41,13.14,15.84,
FJI,819,Fiji,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,3.65,1.82,3.25,3.05,-0.34,0.55,4.61,7.31,4.99,0.2,-3.08,-4.72
FIN,172,Finland,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.68,1.06,1.17,-0.2,0.6,0.92,0.76,0.71,0.16,0.1
FRA,132,France,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,3.04,2.7,2.5,1.78,1.89,2.04,1.01,0.38,0.64,1.49,0.72,1.77,1.93,2.45,1.58,1.1,1.21,1.85,0.13,1.38,1.69,1.43,0.48,0.62,-0.13,0.14,0.91,1.72,0.68,0.2,0.13
GAB,646,Gabon,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,1.46,0.4,4.94,1.77,3.94,1.85,5.82,1.72,1.72,
GMB,648,"Gambia, The",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.7,2.1,3.43,2.86,2.36,2.57,3.53,4.68,4.76,5.99,7.32,6.87,7.74,5.22,4.07
